player_id,name,age,position,sub_position,foot,height_in_cm,country_of_citizenship,club_name,club_domestic_competition_id,club_squad_size,club_average_age,club_total_market_value,last_season_appearances,last_season_minutes,last_season_goals,last_season_assists,last_season_yellow_cards,last_season_red_cards,goals_per_90,assists_per_90,goal_contributions,num_prior_transfers,last_transfer_fee,max_transfer_fee,contract_years_remaining,current_market_value_eur
10,Miroslav Klose,37.57,Attack,Centre-Forward,right,184.0,Germany,Società Sportiva Lazio S.p.A.,IT1,28.0,27.8,,36.0,2429.0,12.0,8.0,6.0,0.0,0.4446274186908193,0.29641827912721286,20.0,0.0,0.0,0.0,0.0,1000000
26,Roman Weidenfeller,37.39,Goalkeeper,Goalkeeper,left,190.0,Germany,Borussia Dortmund,L1,29.0,24.8,,3.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000
65,Dimitar Berbatov,35.39,Attack,Centre-Forward,,,Bulgaria,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,GR1,31.0,28.0,,22.0,1150.0,5.0,0.0,2.0,1.0,0.3913043478260869,0.0,5.0,0.0,0.0,0.0,0.0,1000000
77,Lúcio,38.52,Defender,Centre-Back,,,Brazil,Juventus FC,IT1,29.0,27.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000
80,Tom Starke,37.22,Goalkeeper,Goalkeeper,right,194.0,Germany,Bayern Munich,L1,31.0,26.1,,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000
109,Dedê,35.78,Defender,Left-Back,,,Brazil,Eskisehirspor,TR1,41.0,23.9,,14.0,1219.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000
123,Christoph Metzelder,32.19,Defender,Centre-Back,,,Germany,FC Schalke 04,L1,27.0,26.4,,4.0,286.0,0.0,1.0,0.0,0.0,0.0,0.3146853146853147,1.0,0.0,0.0,0.0,0.0,1500000
132,Tomas Rosicky,36.68,Midfield,Attacking Midfield,both,179.0,Czech Republic,Arsenal FC,GB1,29.0,26.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350000
162,Marc Ziegler,36.59,Goalkeeper,Goalkeeper,right,193.0,Germany,VfB Stuttgart,L1,33.0,24.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000
215,Roque Santa Cruz,41.87,Attack,Centre-Forward,right,193.0,Paraguay,Málaga CF,ES1,27.0,27.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5037645448323066,250000
